"322 ""RIO CUARTO""";"322 ""QUEMU QUEMU"""
"323 ""RIO GRANDE""";"323 ""QUILMES"""
"324 ""RIO HONDO""";"324 ""QUITILIPI"""
"325 ""RIO PRIMERO""";"325 ""RAMALLO"""
"326 ""RIO SECO""";"326 ""RAMON LISTA"""
"327 ""RIO SEGUNDO""";"327 ""RANCUL"""
"328 ""RIO SENGUER""";"328 ""RAUCH"""
"329 ""RIVADAVIA""";"329 ""RAWSON"""
"330 ""ROBLES""";"330 ""REALICO"""
"331 ""ROJAS""";"331 ""RINCONADA"""
"332 ""ROQUE PEREZ""";"332 ""RIO CHICO"""
"333 ""ROSARIO""";"333 ""RIO CUARTO"""
"334 ""ROSARIO DE LA FRONTERA""";"334 ""RIO GRANDE"""
"335 ""ROSARIO DE LERMA""";"335 ""RIO HONDO"""
"336 ""ROSARIO SECC.""";"336 ""RIO PRIMERO"""
"337 ""ROSARIO VERA PEÑALOZA""";"337 ""RIO SECO"""
"338 ""SAAVEDRA""";"338 ""RIO SEGUNDO"""
"339 ""SALADAS""";"339 ""RIO SENGUER"""
"340 ""SALADILLO""";"340 ""RIVADAVIA"""
"341 ""SALAVINA""";"341 ""ROBLES"""
"342 ""SALLIQUELO""";"342 ""ROJAS"""
"343 ""SALTO""";"343 ""ROQUE PEREZ"""
"344 ""SAMIENTO""";"344 ""ROQUE SAENZ PE¾A"""
"345 ""SAN ALBERTO""";"345 ""ROSARIO"""
"346 ""SAN ANDRES DE GILES""";"346 ""ROSARIO DE LA FRONTERA"""
"347 ""SAN ANTONIO""";"347 ""ROSARIO DE LERMA"""
"348 ""SAN ANTONIO DE ARECO""";"348 ""ROSARIO VERA PE¾ALOZA"""
"349 ""SAN ANTONIO OESTE""";"349 ""SAAVEDRA"""
"350 ""SAN BLAS DE LOS SAUCES""";"350 ""SALADAS"""
"351 ""SAN CARLOS""";"351 ""SALADILLO"""
"352 ""SAN CAYETANO""";"352 ""SALAVINA"""
"353 ""SAN COSME""";"353 ""SALLIQUELO"""
"354 ""SAN CRISTOBAL""";"354 ""SALTO"""
"355 ""SAN FERNANDO""";"355 ""SAN ALBERTO"""
"356 ""SAN IGNACIO""";"356 ""SAN ANDRES DE GILES"""
"357 ""SAN ISIDRO""";"357 ""SAN ANTONIO"""
"358 ""SAN JAVIER""";"358 ""SAN ANTONIO DE ARECO"""
"359 ""SAN JERONIMO""";"359 ""SAN ANTONIO OESTE"""
"360 ""SAN JUSTO""";"360 ""SAN BLAS DE LOS SAUCES"""
"361 ""SAN LORENZO""";"361 ""SAN CARLOS"""
"362 ""SAN LUIS DEL PALMAR""";"362 ""SAN CAYETANO"""
"363 ""SAN MARTIN""";"363 ""SAN COSME"""
"364 ""SAN MIGUEL""";"364 ""SAN CRISTOBAL"""
"365 ""SAN NICOLAS""";"365 ""SAN FERNANDO"""
"366 ""SAN PEDRO""";"366 ""SAN IGNACIO"""
"367 ""SAN RAFAEL""";"367 ""SAN ISIDRO"""
"368 ""SAN ROQUE""";"368 ""SAN JAVIER"""
"369 ""SAN SALVADOR""";"369 ""SAN JERONIMO"""
"370 ""SAN VICENTE""";"370 ""SAN JUSTO"""
"371 ""SANAGASTA""";"371 ""SAN LORENZO"""
"372 ""SANTA BARBARA""";"372 ""SAN LUIS DEL PALMAR"""
"373 ""SANTA CATALINA""";"373 ""SAN MARTIN"""
"374 ""SANTA LUCIA""";"374 ""SAN MIGUEL"""
"375 ""SANTA MARIA""";"375 ""SAN NICOLAS"""
"376 ""SANTA ROSA""";"376 ""SAN PEDRO"""
"377 ""SANTA VICTORIA""";"377 ""SAN RAFAEL"""
