categoria;nombre_categoria;agrupacion;nombre_agrupacion;lista;nombre_lista
001002130000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas;133;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;001002130000000.133.A.001002130000000.133;Guzman Maria Isabel
001002130000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas;135;JUNTOS POR EL CAMBIO;001002130000000.135.A.001002130000000.135;Cariglino, Jesus
001002130000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas;137;CONSENSO FEDERAL;001002130000000.137.A.001002130000000.137;Antonio *Toti*, Labonia
001002131000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Punta Indio;02-503;FRENTE DE TODOS;001002131000000.02-503.A.001002131000000.02-503;Y Zurieta, Hernan Cesar
001002131000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Punta Indio;135;JUNTOS POR EL CAMBIO;001002131000000.135.A.001002131000000.135;Landa, Gerardo Anibal
001002131000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Punta Indio;137;CONSENSO FEDERAL;001002131000000.137.A.001002131000000.137;Dupaus Fernando Luis
001002132000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza;02-1911;FRENTE NOS;001002132000000.02-1911.A.001002132000000.02-1911;Acuña, Jorge Eduardo
001002132000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza;02-503;FRENTE DE TODOS;001002132000000.02-503.A.001002132000000.02-503;Granados Alejandro Santiago
001002132000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza;133;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;001002132000000.133.A.001002132000000.133;Cañete Néstor Fabian
001002132000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza;135;JUNTOS POR EL CAMBIO;001002132000000.135.A.001002132000000.135;Barabani, Ruben Osvaldo
001002132000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza;137;CONSENSO FEDERAL;001002132000000.137.A.001002132000000.137;Lopez Pablo Alejandro
001002133000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo;02-1911;FRENTE NOS;001002133000000.02-1911.A.001002133000000.02-1911;Cardozo  Nadia Mailen
001002133000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo;02-503;FRENTE DE TODOS;001002133000000.02-503.A.001002133000000.02-503;Descalzo Alberto Daniel
001002133000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo;02-886;AGRUPACIÓN MUNICIPAL ITUZAINGO POSITIVO;001002133000000.02-886.A.001002133000000.02-886;Rey Sandra Elizabeth
001002133000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo;133;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;001002133000000.133.A.001002133000000.133;Maldonado Ruben Alfredo
001002133000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo;135;JUNTOS POR EL CAMBIO;001002133000000.135.A.001002133000000.135;Di Castelnuovo, Gaston
001002133000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo;137;CONSENSO FEDERAL;001002133000000.137.A.001002133000000.137;Marasco Osvaldo
001002134000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Hurlingham;02-1911;FRENTE NOS;001002134000000.02-1911.A.001002134000000.02-1911;Argüello, Jorge Enrique
001002134000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Hurlingham;02-503;FRENTE DE TODOS;001002134000000.02-503.A.001002134000000.02-503;Zabaleta, Juan Horacio
001002134000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Hurlingham;133;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;001002134000000.133.A.001002134000000.133;Chayan Leandro Ariel
001002134000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Hurlingham;135;JUNTOS POR EL CAMBIO;001002134000000.135.A.001002134000000.135;Delfino, Lucas Santiago
001002134000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Hurlingham;137;CONSENSO FEDERAL;001002134000000.137.A.001002134000000.137;De Francesco, Rafael L.
001002135000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Lezama;02-503;FRENTE DE TODOS;001002135000000.02-503.A.001002135000000.02-503;Racciatti Carlos Marcelo
001002135000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Lezama;133;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;001002135000000.133.A.001002135000000.133;Marruedo Pamela Edith
001002135000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Lezama;135;JUNTOS POR EL CAMBIO;001002135000000.135.A.001002135000000.135;Harispe, Arnaldo *Lalo*
001002135000000;Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Lezama;137;CONSENSO FEDERAL;001002135000000.137.A.001002135000000.137;Erramuspe Marisa Luz
