year;province;pbg_manufactura;pbg_total_pm;pbg_total_pp;ic;ic_on;ic_op;ic_tributarios;ic_tributarios_op;ic_tributarios_op_iibb;ic_tributarios_op_inmob;ic_tributarios_op_sellos;ic_tributarios_op_autom;ic_tributarios_op_otros;ic_tributarios_on;ic_transferencias;ic_otros;ik;ik_op;ik_on;ik_dif;i_on;it;gc;gc_consumo;gc_consumo_personal;gc_rentas;gc_transferencias;gc_transferencias_sprivado;gc_transferencias_spublico;gc_transferencias_sexterno;gk;gk_ird;gk_transferencias;gk_transferencias_sprivado;gk_transferencias_spublico;gk_transferencias_sexterno;gk_if;gt;personal (planta ocupada);salario_promedio (gasto medio);population;apn_gconsumo;apn_grentasprop;apn_prestss;apn_impdir;apn_transf;apn_corrientes (confirmar si es el total);apn_IRD;apn_transfK;apn_invfciera;apn_capital (confirmar si es el total);gn_admgub;gn_defensa;gn_servsoc;gn_servecon;gn_deuda;gn_total
1992;Salta;;;;;;;;;46,40;4,29;14,67;0,00;5,76;;;;;;;;;;;;;;;;;;;;;;;;;;42797;791,28;893258;;;;;;;;;;;;;;;;
1992;San Juan;;;;;;;;;28,11;5,49;14,14;5,11;8,26;;;;;;;;;;;;;;;;;;;;;;;;;;28925;661,41;539999;;;;;;;;;;;;;;;;
1992;San Luis;;;;;;;;;36,21;7,51;7,90;1,18;0,75;;;;;;;;;;;;;;;;;;;;;;;;;;15529;883,86;296788;;;;;;;;;;;;;;;;
1992;Santa Cruz;;;;;;;;;29,07;0,07;6,65;0,00;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;15791;841,81;165729;;;;;;;;;;;;;;;;
1992;Santa Fe;;;;;;;;;347,04;151,77;137,75;6,66;4,29;;;;;;;;;;;;;;;;;;;;;;;;;;86178;853,01;2861831;;;;;;;;;;;;;;;;
1992;Santiago del Estero;;;;;;;;;20,73;4,63;5,63;3,29;9,32;;;;;;;;;;;;;;;;;;;;;;;;;;35091;651,85;684690;;;;;;;;;;;;;;;;
1992;Tierra del Fuego;;;;;;;;;30,21;0,07;4,27;0,00;19,86;;;;;;;;;;;;;;;;;;;;;;;;;;5139;1856,09;73402;;;;;;;;;;;;;;;;
1992;Tucuman;;;;;;;;;63,54;15,08;20,95;13,60;12,07;;;;;;;;;;;;;;;;;;;;;;;;;;42082;640,89;1169844;;;;;;;;;;;;;;;;
1993;Buenos Aires;22336,13;82206,71;75516,87;;;;;;1498,96;536,14;374,57;337,89;442,44;;;;;;;;;;;;;;;;;;;;;;;;;;287855;882,28;13056791;;;;;;;;;;;;;;;;
1993;CABA;;;;;;;;;1651,59;383,37;0,00;268,63;30,78;;;;;;;;;;;;;;;;;;;;;;;;;;108573;1127,71;3022400;;;;;;;;;;;;;;;;
1993;Catamarca;269,08;1119,00;;;;;;;14,08;2,25;3,66;2,54;0,50;;;;;;;;;;;;;;;;;;;;;;;;;;25656;733,46;277614;;;;;;;;;;;;;;;;
1993;Chaco;220;2727;;;;;;;46,25;1,55;9,97;0,00;12,88;;;;;;;;;;;;;;;;;;;;;;;;;;37903;934,54;872100;;;;;;;;;;;;;;;;
1993;Chubut;293,30;2664,98;2661,14;;;;;;37,07;0,11;11,63;0,00;0,47;;;;;;;;;;;;;;;;;;;;;;;;;;18507;1182,57;378985;;;;;;;;;;;;;;;;
1993;Cordoba;;;;;;;;;420,66;213,49;83,45;0,00;33,11;;;;;;;;;;;;;;;;;;;;;;;;;;87176;1052,42;2864810;;;;;;;;;;;;;;;;
1993;Corrientes;;;;;;;;;46,83;11,73;11,49;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;41433;741,03;830926;;;;;;;;;;;;;;;;
1993;Entre Rios;;;;;;;;;80,04;56,05;33,93;30,85;3,80;;;;;;;;;;;;;;;;;;;;;;;;;;40034;1031,76;1051095;;;;;;;;;;;;;;;;
1993;Formosa;85,64;;1321,66;;;;;;18,99;1,56;5,32;0,01;1,09;;;;;;;;;;;;;;;;;;;;;;;;;;32015;741,28;423852;;;;;;;;;;;;;;;;
1993;Jujuy;269,69;;1840,85;;;;;;33,20;9,66;6,93;0,00;0,58;;;;;;;;;;;;;;;;;;;;;;;;;;27175;788,85;535562;;;;;;;;;;;;;;;;
1993;La Pampa;140,92;;1803,59;;;;;;39,01;13,19;21,36;10,74;1,18;;;;;;;;;;;;;;;;;;;;;;;;;;16119;905,89;272296;;;;;;;;;;;;;;;;
1993;La Rioja;;;;;;;;;15,52;2,63;4,24;1,65;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;21805;928,75;234624;;;;;;;;;;;;;;;;
1993;Mendoza;1757,57;7761,51;;;;;;;212,77;38,10;55,58;37,89;9,08;;;;;;;;;;;;;;;;;;;;;;;;;;46132;1017,16;1468414;;;;;;;;;;;;;;;;
1993;Misiones;86,23;2608,64;;;;;;;54,05;9,91;11,72;1,46;0,95;;;;;;;;;;;;;;;;;;;;;;;;;;32437;843,65;838940;;;;;;;;;;;;;;;;
1993;Neuquen;324,28;10707,24;;;;;;;62,40;13,01;18,93;0,00;0,02;;;;;;;;;;;;;;;;;;;;;;;;;;30449;1162,22;425395;;;;;;;;;;;;;;;;
1993;Rio Negro;250,00;2975,57;;;;;;;67,36;14,93;25,40;12,77;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;29798;1012,44;534659;;;;;;;;;;;;;;;;
1993;Salta;196,49;2220,90;;;;;;;67,48;3,60;12,45;0,00;5,10;;;;;;;;;;;;;;;;;;;;;;;;;;41567;859,36;914589;;;;;;;;;;;;;;;;
1993;San Juan;429,48;2288,75;;;;;;;32,44;5,59;14,53;5,77;13,63;;;;;;;;;;;;;;;;;;;;;;;;;;34173;786,04;545214;;;;;;;;;;;;;;;;
1993;San Luis;1231,28;1803,59;;;;;;;41,19;11,06;11,44;1,27;0,74;;;;;;;;;;;;;;;;;;;;;;;;;;16569;904,78;305068;;;;;;;;;;;;;;;;
1993;Santa Cruz;57,12;2194,41;2014,36;;;;;;33,89;0,12;9,66;0,00;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;13635;1185,18;170819;;;;;;;;;;;;;;;;
1993;Santa Fe;3039,84;19565,22;;;;;;;406,98;149,04;179,75;6,40;7,66;;;;;;;;;;;;;;;;;;;;;;;;;;85135;986,05;2890933;;;;;;;;;;;;;;;;
1993;Santiago del Estero;;;;;;;;;25,93;5,82;5,65;4,32;6,17;;;;;;;;;;;;;;;;;;;;;;;;;;31561;947,45;689917;;;;;;;;;;;;;;;;
1993;Tierra del Fuego;;;;;;;;;37,99;0,06;4,99;0,00;18,82;;;;;;;;;;;;;;;;;;;;;;;;;;5519;2094,27;78915;;;;;;;;;;;;;;;;
1993;Tucuman;750,41;4113,30;;;;;;;80,17;9,58;29,41;10,29;11,11;;;;;;;;;;;;;;;;;;;;;;;;;;43403;779,61;1185489;;;;;;;;;;;;;;;;
1994;Buenos Aires;24565,91;88172,74;80520,24;;;;;;1804,47;557,82;422,32;418,95;438,44;;;;;;;;;;;;;;;;;;;;;;;;;;287855;960,31;13216914;;;;;;;;;;;;;;;;
1994;CABA;;;;;;;;;1561,60;416,27;0,00;277,33;97,70;;;;;;;;;;;;;;;;;;;;;;;;;;105176;1146,74;3024315;;;;;;;;;;;;;;;;
1994;Catamarca;258,09;1120,89;;;;;;;15,31;3,44;4,89;2,67;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;25175;919,13;283453;;;;;;;;;;;;;;;;
